West CEI (All Steps Combined) Annual (January-December) 1910-2017,1,2,3,4,5,6,7,8,9,10
Date,south,contiguousUS,northeast,northernrockiesandplains,northwest,ohiovalley,southeast,southwest,uppermidwest,west
1988,4.46,12.9,0.7,65.4,30.8,1.8,3.4,0,23.8,10.54
1989,9.42,10.8,5.3,0,0,27.6,21.3,33.5,0.1,21.64
1990,19.08,16.8,87.1,24.2,1.3,16.4,96.7,0,29.1,11.54
1991,6.88,24.5,44.2,0,0,14.6,16.2,1.8,1.3,23.04
1992,23.4,13,0,8.2,89,6.5,31.9,3.7,1.2,22.42
1993,5.62,4.5,0,57.1,41.6,42.8,0.6,11.7,39.2,24.04
1994,0.2,6.3,0,11.4,24.8,0,0.1,11.5,0,10.54
1995,37.82,6.3,0,0.4,6.6,0,0.1,1.6,0,10.26
1996,67.06,20.5,0,51.3,6.8,49.8,17.4,43,73.2,12.56
1997,27.52,3.7,0,0,0.9,17.7,7.7,3.5,0,18.16
1998,47.4,74.1,100,6.5,21.5,43.2,63.8,3,81.1,38.66
1999,0.1,21.1,36.3,48.1,0,60,21.9,28.9,77.6,28.1
2000,8.74,16.4,0,2.8,1,0,3.1,71.6,0,18.82
2001,17.84,24,18.7,29.3,17.4,1.5,1.3,28.6,43.6,15.08
2002,24.58,10.6,56.7,0,14.6,1.7,8,30.3,0.2,9.48
2003,32.52,28.5,0,9.9,78.6,0.7,2.9,78.7,0,10.62
2004,19.94,17.6,5.1,0.2,22,0,0,0,0,17.42
2005,34.88,21.2,1.7,9.8,4,4.6,0,6.5,31.1,13.08
2006,14.6,41.1,99.8,84.1,12.8,16.1,35.9,18.8,75.9,37.02
2007,36.3,18.2,1.2,41.6,43.7,39,72.9,36.7,13.1,22.58
2008,17.44,0.7,0.7,0.4,0.2,3.4,0.1,0.5,9.8,18.08
2009,2.98,1.1,0.1,4,0.1,1.9,4.3,6.6,0,17.7
2010,17.92,13,81.5,0,0,0,4.6,0.3,48.6,11.18
2011,5.64,17.7,99,0,8,0.6,56.9,17.3,0.2,41.88
2012,43.56,82.7,100,95.6,39.9,98.6,61.3,99.5,100,56.8
2013,38.14,4.8,13.1,6,8.5,15.2,25.8,0.2,3.6,15.66
2014,62.9,33.3,1.4,2.9,67.4,57.9,8.6,51.5,71.6,14.68
2015,66.52,73,5.2,68.5,99.8,0.9,22,31.1,24.2,37.82
2016,38.72,91.8,90.8,81.1,53.4,69.1,71.6,76.5,77.2,43.94
2017,61.58,75.9,89.3,16.9,6.2,55.6,67.6,94.1,12.7,38.68
